"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"73",73,73,"Kellner, James R.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000457829800012",14,"J","2019",NA
"74",74,74,"Kobe, Richard K.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"M-1054-2014",NA,"WOS:000461112200044",15,"J","2019",NA
"75",75,75,"Minor, David M.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000461112200044",15,"J","2019",NA
"76",76,76,"Allen, M. F.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"77",77,77,"Alvarado, A. G. F.",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-0564-6092","WOS:000460859100005",16,"J","2019",NA
"78",78,78,"Artavia-Leon, A.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"79",79,79,"Carrasquillo-Quintana, O.",7,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"80",80,262,"Dierick, D.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"81",81,81,"Fernandez-Bou, A. S.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"W-9673-2019","0000-0001-9947-0747","WOS:000460859100005",16,"J","2019",NA
"82",82,82,"Harmon, T. C.",15,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"83",83,83,"Lachman, D. A.",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"84",84,173,"Oberbauer, S.",9,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"85",85,103,"Pinto-Tomas, A. A.",10,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"86",86,86,"Rodriguez-Reyes, Y.",11,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"87",87,892,"Rundel, P.",12,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"88",88,354,"Schwendenmann, L.",13,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"89",89,89,"Swanson, A. C.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"90",90,90,"Zelikova, T. J.",14,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000460859100005",16,"J","2019",NA
"91",91,91,"Kamath, A.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000451348200008",17,"J","2018",NA
"92",92,92,"Knowlton, E. D.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000451348200008",17,"J","2018",NA
"93",93,93,"Boehlke, Chloe",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"94",94,94,"Dudgeon, Steven",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"95",95,95,"Kaiser, Kristine",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"96",96,96,"Navarro-Perez, Edauri",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"97",97,97,"Robertson, Jeanne M.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"98",98,98,"Vega, Andres",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000449965100002",18,"J","2018",NA
"99",99,99,"Abarca, Juan G.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"100",100,100,"Kerbys, Jacob",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"101",101,101,"McKenzie, Valerie J.",7,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"102",102,102,"Murillo-Cruz, Catalina",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"103",103,103,"Pinto-Tomas, A. A.",9,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"104",104,104,"Vargas, Gabriel",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"105",105,477,"Whitfield, Steven M.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"106",106,106,"Woodhams, Douglas C.",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"107",107,107,"Zuniga, Ibrahim",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000443430000001",19,"J","2018",NA
"108",108,488,"Hespenheide, Henry",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000448402500036",20,"J","2018",NA
"109",109,109,"Clark, Deborah A.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-4000-4925","WOS:000440407500022",21,"J","2018",NA
"110",110,109,"Clark, Deborah A.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000440407500022",21,"J","2018",NA
