,authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
6743,6743,5129,"Bruna, Emilio M.",7,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,C-4939-2014,0000-0003-3381-8477,WOS:000329786700016,750,J,2013,NA
6744,6744,5129,"Bruna, Emilio M.",7,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,C-4939-2014,0000-0001-5427-1461,WOS:000329786700016,750,J,2013,NA
7462,7462,2326,"Lemes, Maristerra R.",3,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69083970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083970, manaus,amazonas,brazil,NA,NA,NA,WOS:000309866200008,854,J,2012,NA
3493,3493,616,"Bentos, Tony, V",5,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Coordenacao Dinamica Ambiental, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,NA,NA,WOS:000395868200015,345,J,2017,NA
3502,3502,650,"Massoca, Paulo E. S.",12,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Coordenacao Dinamica Ambiental, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,A-4325-2015,0000-0001-6396-8244,WOS:000395868200015,345,J,2017,NA
3504,3504,3504,"Mesquita, Rita",14,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Coordenacao Dinamica Ambiental, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,NA,NA,WOS:000395868200015,345,J,2017,NA
3511,3511,3511,"Williamson, G. Bruce",20,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Coordenacao Dinamica Ambiental, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,NA,NA,WOS:000395868200015,345,J,2017,NA
5130,5130,5130,"Dattilo, Wesley",1,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000269700500018,521,J,2009,NA
5132,5132,5132,"Izzo, Thiago J.",2,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,"inst nacl de pesquisas da amazonia, biol dynam forest fragments project, manaus, amazonas, brazil.",K-7405-2012,0000-0002-4613-3787,WOS:000269700500018,521,J,2009,NA
7477,7477,7477,"Ronchi-Teles, Beatriz",7,"Inst Nacl de Pesquisas da Amazonia, BR-69060000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060000, manaus,amazonas,brazil,NA,E-3292-2013,0000-0001-8840-2757,WOS:000311403400002,856,J,2012,NA
7532,7532,8450,"Lima, Albertina P.",4,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, AM, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,am,brazil,NA,NA,NA,WOS:000308837700001,866,J,2012,NA
8450,8450,8450,"Lima, Albertina P.",2,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, AM, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,am,brazil,NA,NA,0000-0003-4586-5633,WOS:000287851700003,990,J,2011,NA
6266,6266,3219,"Quesada, Carlos A.",5,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,amazonas,brazil,NA,NA,NA,WOS:000338027500020,699,J,2014,NA
6413,6413,5437,"Vicentini, Alberto",2,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,amazonas,brazil,NA,NA,NA,WOS:000334928700005,714,J,2014,NA
7480,7480,1513,"Spironello, Wilson Roberto",11,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,amazonas,brazil,NA,NA,NA,WOS:000311403400002,856,J,2012,NA
8657,8657,8450,"Lima, Albertina P.",3,"Inst Nacl de Pesquisas da Amazonia, BR-69060001 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,amazonas,brazil,NA,NA,0000-0003-4586-5633,WOS:000282824300021,1023,J,2010,NA
6331,6331,5392,"Higuchi, Niro",24,"Inst Nacl de Pesquisas da Amazonia, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,NA,NA,WOS:000333568600001,707,J,2014,NA
6351,6351,3219,"Quesada, Carlos A.",39,"Inst Nacl de Pesquisas da Amazonia, BR-69067375 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69067375, manaus,amazonas,brazil,NA,NA,NA,WOS:000333568600001,707,J,2014,NA
9080,9080,9080,"Cohn-Haft, Mario",2,"Inst Nacl de Pesquisas da Amazonia, Ecol Dept & Sci Collect Birds, Manaus, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,ecol dept & sci collect birds,manaus,brazil,NA,NA,NA,WOS:000274144800002,1075,J,2010,NA
2326,2326,2326,"Lemes, Maristerra R.",12,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas LabGen, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000433571100002,200,J,2018,NA
6746,6746,2323,"Gribel, Rogerio",4,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,C-5392-2013,0000-0002-0850-5578,WOS:000329786700016,750,J,2013,NA
7087,7087,2323,"Gribel, Rogerio",11,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,C-5392-2013,0000-0002-0850-5578,WOS:000316325500006,798,J,2013,NA
7089,7089,2326,"Lemes, Maristerra R.",10,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,NA,NA,WOS:000316325500006,798,J,2013,NA
7104,7104,2323,"Gribel, Rogerio",11,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,C-5392-2013,0000-0002-0850-5578,WOS:000316325500008,800,J,2013,NA
7105,7105,2326,"Lemes, Maristerra R.",10,"Inst Nacl de Pesquisas da Amazonia, Lab Genet & Biol Reprod Plantas, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,NA,NA,WOS:000316325500008,800,J,2013,NA
7273,7273,7273,"de Freitas, Camila C.",6,"Inst Nacl de Pesquisas da Amazonia, Lab Psicol & Educ Ambiental LAPSEA, BR-69083000 Manaus, AM, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,am,brazil,NA,NA,NA,WOS:000312156600009,827,J,2013,NA
616,616,616,"Bentos, Tony, V",11,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000470917200016,68,J,2019,NA
641,641,641,"Junqueira, Andre B.",36,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,M-1142-2016,0000-0003-3681-1705,WOS:000470917200016,68,J,2019,NA
650,650,650,"Massoca, Paulo E. S.",45,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000470917200016,68,J,2019,NA
652,652,652,"Mesquite, Rita",47,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000470917200016,68,J,2019,NA
686,686,3511,"Williamson, G. Bruce",75,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000470917200016,68,J,2019,NA
5371,5371,5392,"Higuchi, Niro",9,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000263839200014,572,J,2009,NA
6115,6115,6115,"Costa, Flavia R. C.",29,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000339110400011,690,J,2014,NA
6124,6124,5392,"Higuchi, Niro",34,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000339110400011,690,J,2014,NA
6127,6127,6127,"Levis, Carolina",38,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000339110400011,690,J,2014,NA
6131,6131,6131,"Magnusson, William E.",39,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,J-9408-2014,NA,WOS:000339110400011,690,J,2014,NA
6156,6156,3219,"Quesada, Carlos A.",9,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000339110400011,690,J,2014,NA
6162,6162,6162,"Schietti, Juliana",61,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,B-8226-2015,0000-0002-1687-4373,WOS:000339110400011,690,J,2014,NA
6179,6179,967,"Zartman, Charles E.",77,"Inst Nacl de Pesquisas da Amazonia, Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,NA,manaus,amazonas,brazil,NA,NA,NA,WOS:000339110400011,690,J,2014,NA
