"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"64",64,123,"Hoeger, Lars-Olaf",3,"Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.","dartmouth coll","dept biol sci","03755","hanover","nh","usa",NA,NA,NA,"WOS:000466698100004",14,"J","2019","PEERJ INC"
"65",65,65,"Martinson, Sharon J.",5,"Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.","dartmouth coll","dept biol sci","03755","hanover","nh","usa",NA,NA,NA,"WOS:000466698100004",14,"J","2019","PEERJ INC"
"66",66,66,"Palmer, Christine M.",7,"Castleton Univ, Dept Nat Sci, Castleton, VT 05735 USA.","castleton univ","dept nat sci","05735","castleton","vt","usa","castleton univ, dept nat sci, castleton, vt 05735 usa.",NA,NA,"WOS:000466698100004",14,"J","2019","PEERJ INC"
"67",67,67,"Ralston, Jessica S.",4,"Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.","dartmouth coll","dept biol sci","03755","hanover","nh","usa",NA,NA,NA,"WOS:000466698100004",14,"J","2019","PEERJ INC"
"68",68,68,"Symes, Laurel B.",1,"Cornell Univ, Lab Ornithol, Bioacoust Res Program, Ithaca, NY USA.","cornell univ",NA,NA,"ithaca","ny","usa",NA,NA,"0000-0001-6650-3813","WOS:000466698100004",14,"J","2019","PEERJ INC"
"69",69,69,"ter Hofstede, Hannah M.",6,"Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.","dartmouth coll","dept biol sci","03755","hanover","nh","usa",NA,NA,"0000-0002-7870-760X","WOS:000466698100004",14,"J","2019","PEERJ INC"
"70",70,70,"Wershoven, Nicole L.",2,"Castleton Univ, Dept Nat Sci, Castleton, VT 05735 USA.","castleton univ","dept nat sci","05735","castleton","vt","usa",NA,NA,NA,"WOS:000466698100004",14,"J","2019","PEERJ INC"
"71",71,71,"Muller-Landau, Helene C.",1,"Smithsonian Trop Res Inst, Panama City, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"panama city",NA,"panama","smithsonian trop res inst, panama city, panama.",NA,"0000-0002-3526-9021","WOS:000467417500033",15,"J","2019","WILEY"
"72",72,72,"Visser, Marco D.",2,"Princeton Univ, Princeton, NJ 08544 USA.","princeton univ",NA,"08544","princeton","nj","usa",NA,NA,NA,"WOS:000467417500033",15,"J","2019","WILEY"
"73",73,73,"Laumer, Christopher",2,"EMBL European Bioinformat Inst, Wellcome Genome Campus,EMBL EBI South Bldg, Hinxton CB10 1SD, England.","embl european bioinformat inst","embl european bioinformat inst","cb10 1sd","hinxton ",NA,"england",NA,NA,NA,"WOS:000464511700012",16,"J","2019","MAGNOLIA PRESS"
"74",74,74,"Sluys, Ronald",1,"Nat Biodivers Ctr, POB 9517, NL-2300 RA Leiden, Netherlands.","nat biodivers ctr","pob 9517","2300"," ra leiden",NA,"netherlands","nat biodivers ctr, pob 9517, nl-2300 ra leiden, netherlands.",NA,NA,"WOS:000464511700012",16,"J","2019","MAGNOLIA PRESS"
"75",75,407,"Bunnefeld, Lynsey",3,"Univ Stirling, Biol & Environm Sci, Stirling, Scotland.","univ stirling",NA,NA,"biol & environm sci","stirling","scotland",NA,NA,NA,"WOS:000461056400012",17,"J","2019","WILEY"
"76",76,284,"Dent, Daisy H.",4,"Univ Stirling, Biol & Environm Sci, Stirling, Scotland.","univ stirling",NA,NA,"biol & environm sci","stirling","scotland",NA,NA,NA,"WOS:000461056400012",17,"J","2019","WILEY"
"77",77,77,"Mayhew, Rebekah J.",1,"Univ Stirling, Biol & Environm Sci, Stirling, Scotland.","univ stirling",NA,NA,"biol & environm sci","stirling","scotland","univ stirling, biol & environm sci, stirling, scotland.",NA,"0000-0003-4463-0787","WOS:000461056400012",17,"J","2019","WILEY"
"78",78,78,"Tobias, Joseph A.",2,"Imperial Coll London, Dept Life Sci, Ascot, Berks, England.","imperial coll london","dept life sci",NA,"ascot","berks","england",NA,NA,NA,"WOS:000461056400012",17,"J","2019","WILEY"
"79",79,1543,"Engelbrecht, Bettina M. J.",2,"Univ Bayreuth, Dept Plant Ecol, Bayreuth Ctr Ecol & Environm Res BayCEER, Bayreuth, Germany.","univ bayreuth","dept plant ecol",NA,"bayreuth ctr ecol & environm res bayceer","bayreuth","germany",NA,NA,NA,"WOS:000458616400030",18,"J","2019","WILEY"
"80",80,591,"Hernandez, Andres",3,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000458616400030",18,"J","2019","WILEY"
"81",81,61,"Kupers, Stefan J.",1,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany","german ctr integrat biodivers res idiv, leipzig, germany.",NA,NA,"WOS:000458616400030",18,"J","2019","WILEY"
"82",82,82,"Rueger, Nadja",6,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany",NA,"J-6393-2015","0000-0003-2371-4172","WOS:000458616400030",18,"J","2019","WILEY"
"83",83,82,"Rueger, Nadja",6,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany",NA,"J-6393-2015","0000-0003-2371-4172","WOS:000458616400030",18,"J","2019","WILEY"
"84",84,82,"Rueger, Nadja",6,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany",NA,"Q-6418-2019","0000-0003-2371-4172","WOS:000458616400030",18,"J","2019","WILEY"
"85",85,82,"Rueger, Nadja",6,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany",NA,"Q-6418-2019","0000-0003-2371-4172","WOS:000458616400030",18,"J","2019","WILEY"
"86",86,86,"Wirth, Christian",5,"German Ctr Integrat Biodivers Res iDiv, Leipzig, Germany.","german ctr integrat biodivers res idiv",NA,NA,"leipzig",NA,"germany",NA,NA,NA,"WOS:000458616400030",18,"J","2019","WILEY"
"87",87,43,"Wright, S. Joseph",4,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,"M-3311-2013","0000-0003-4260-5676","WOS:000458616400030",18,"J","2019","WILEY"
"88",88,234,"Condit, Richard",2,"Field Museum Nat Hist, 1400 S Lake Shore Dr, Chicago, IL 60605 USA.","field museum nat hist","1400 s lake shore dr","60605","chicago","il","usa",NA,NA,NA,"WOS:000459975800001",19,"J","2019","SPRINGEROPEN"
"89",89,89,"Legendre, Pierre",1,"Univ Montreal, Dept Sci Biol, CP 6128,Succursale Ctr Ville, Montreal, PQ H3C 3J7, Canada.","univ montreal","dept sci biol"," h3c 3j7","pq",NA,"canada","univ montreal, dept sci biol, cp 6128,succursale ctr ville, montreal, pq h3c 3j7, canada.","U-9266-2019","0000-0002-3838-3305","WOS:000459975800001",19,"J","2019","SPRINGEROPEN"
"90",90,1082,"Crofoot, Meg",8,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst","smithsonian trop res inst",NA,"balboa",NA,"panama",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"91",91,1674,"Kays, Roland",1,"North Carolina Museum Nat Sci, Biodivers Lab, Raleigh, NC 27601 USA.","north carolina museum nat sci","biodivers lab","27601","raleigh","nc","usa","smithsonian trop res inst, balboa, panama.",NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"92",92,92,"Kravit, Greg",7,"San Diego Zoo Global, San Diego Zoo Inst Conservat Res, Escondido, CA USA.","san diego zoo global",NA,NA,"escondido","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"93",93,605,"Mclean, Kevin",3,"Univ Calif Davis, Dept Anthropol, Davis, CA 95616 USA.","univ calif davis","dept anthropol","95616","davis","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"94",94,94,"Paunescu, Cris",5,"San Diego Zoo Global, San Diego Zoo Inst Conservat Res, Escondido, CA USA.","san diego zoo global",NA,NA,"escondido","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"95",95,95,"Sheppard, James",2,"San Diego Zoo Global, San Diego Zoo Inst Conservat Res, Escondido, CA USA.","san diego zoo global",NA,NA,"escondido","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"96",96,96,"Wang, Victor",6,"San Diego Zoo Global, San Diego Zoo Inst Conservat Res, Escondido, CA USA.","san diego zoo global",NA,NA,"escondido","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"97",97,97,"Welch, Charlie",4,"San Diego Zoo Global, San Diego Zoo Inst Conservat Res, Escondido, CA USA.","san diego zoo global",NA,NA,"escondido","ca","usa",NA,NA,NA,"WOS:000457495600001",20,"J","2019","TAYLOR & FRANCIS LTD"
"98",98,98,"Barrios, Hector",16,"Univ Panama, Entomol, Panama City, Panama.","univ panama",NA,NA,"entomol","panama city","panama",NA,NA,NA,"WOS:000457405800005",21,"J","2019","WILEY"
"99",99,99,"Basset, Yves",22,"Czech Acad Sci, Inst Entomol, Biol Ctr, Branisovska, Czech Republic.","czech acad sci","inst entomol",NA,"biol ctr","branisovska","czech republic",NA,"B-6642-2014","0000-0002-1942-5717","WOS:000457405800005",21,"J","2019","WILEY"
